date,OMI1,OMI2,phase,phase_angle,magnitude
1940-01-02,0.23815,-0.73373,1.0,17.982105173726495,0.7714112
1940-01-03,0.27264,-0.60648,1.0,24.206058087589724,0.6649441
1940-01-04,0.28488,-0.46033,1.0,31.751723728011513,0.5413505
1940-01-05,0.27304,-0.30276,1.0,42.0452921217354,0.4076941
1940-01-06,0.23752,-0.14112,2.0,59.2837829128856,0.2762799
1940-01-07,0.18026,0.01785,3.0,95.65519994322085,0.1811416
1940-01-08,0.10399,0.16828,4.0,148.28566932018478,0.1978183
1940-01-09,0.01181,0.30525,4.0,177.78435436535932,0.3054784
1940-01-10,-0.0931,0.42469,5.0,192.36471427798213,0.4347749
1940-01-11,-0.20746,0.52337,5.0,201.62300861468927,0.5629883
1940-01-12,-0.32785,0.59878,5.0,208.7020264114054,0.6826589
1940-01-13,-0.45056,0.64904,5.0,214.76816885524084,0.7900995
1940-01-14,-0.57151,0.67286,5.0,220.343717812095,0.8828161
1940-01-15,-0.68617,0.66944,6.0,225.707068943406,0.958634
1940-01-16,-0.78962,0.63849,6.0,231.04085277923255,1.015465
1940-01-17,-0.87663,0.58034,6.0,236.49494367386626,1.0513204
1940-01-18,-0.94192,0.49607,6.0,242.22609341240994,1.0645649
1940-01-19,-0.98037,0.38776,6.0,248.42000696965556,1.054269
1940-01-20,-0.98742,0.25876,6.0,255.31546201376392,1.020762
1940-01-21,-0.95947,0.114,6.0,263.22413394414093,0.9662188
1940-01-22,-0.8944,-0.03996,7.0,272.5581594032725,0.8952922
1940-01-23,-0.79224,-0.19511,7.0,283.83527041282287,0.8159119
1940-01-24,-0.65566,-0.3427,7.0,297.59514324894036,0.7398198
1940-01-25,-0.49019,-0.47424,7.0,314.0525135278931,0.6820483
1940-01-26,-0.30393,-0.58256,8.0,332.44829763147584,0.6570765
1940-01-27,-0.10661,-0.66253,8.0,350.85869890422987,0.6710527
1940-01-28,0.09154,-0.7111,1.0,7.335351896564276,0.7169678
1940-01-29,0.28085,-0.72682,1.0,21.126995106016608,0.7791945
1940-01-30,0.45309,-0.70926,1.0,32.57128432865471,0.8416296
1940-01-31,0.6018,-0.65854,1.0,42.42230756377515,0.8920977
1940-02-01,0.72255,-0.57515,2.0,51.48020077058183,0.9235128
1940-02-02,0.81285,-0.46007,2.0,60.4903044275421,0.934018
1940-02-03,0.87203,-0.3151,2.0,70.13314545650272,0.9272133
1940-02-04,0.90096,-0.14321,2.0,80.9682422085795,0.9122708
1940-02-05,0.90178,0.05122,3.0,93.25083729156256,0.9032335
1940-02-06,0.87761,0.26216,3.0,106.63195786272797,0.9159297
1940-02-07,0.83228,0.48208,3.0,120.0806301247526,0.9618165
1940-02-08,0.77029,0.70214,3.0,132.35001139924378,1.0422798
1940-02-09,0.69678,0.91274,4.0,142.64211254846333,1.1483017
1940-02-10,0.61755,1.10409,4.0,150.7804317259532,1.2650623
1940-02-11,0.53901,1.267,4.0,156.9540189426914,1.376888
1940-02-12,0.46773,1.39346,4.0,161.44511272459744,1.4698647
1940-02-13,0.40964,1.47716,4.0,164.50045827250415,1.5329078
1940-02-14,0.36916,1.51374,4.0,166.29464228586733,1.5581039
1940-02-15,0.34836,1.50086,4.0,166.93263558562194,1.540758
1940-02-16,0.34655,1.43827,4.0,166.45285484993934,1.4794314
1940-02-17,0.36037,1.32784,4.0,164.81591957558695,1.3758727
